FID_,node_fid,Lon,Lat,Lon_m,Lat_m
,2831,-72.852001503300002,42.750064037599998,1865298.212920000100000,2423079.318570000100000
,2832,-72.662416459100001,42.570757527300003,1885140.281299999900000,2407376.134500000200000
,2833,-72.889011492700007,42.987292443299999,1855992.310980000100000,2448079.731070000200000
,2834,-72.888558213099998,42.987024170100000,1856035.209160000100000,2448059.495999999800000
,2835,-72.885375381700001,42.983385492899998,1856383.652969999900000,2447727.138400000100000
,2836,-72.881616140099993,42.979531094300000,1856783.304710000100000,2447382.665850000000000
,2837,-72.882979703499998,42.980474226100000,1856650.579740000000000,2447458.284250000000000
,2838,-72.890308616799999,42.818388765700000,1860434.095900000100000,2429738.484199999800000
,2839,-72.800191603700000,42.581746854899997,1873936.952620000100000,2405843.008070000000000
,2840,-72.868305811599996,42.847239970700002,1861393.348199999900000,2433298.200800000200000
,2841,-72.869091754699994,42.835749634899997,1861640.780599999900000,2432036.749020000000000
,2842,-73.060507415999993,42.981630322599997,1842640.624400000100000,2444128.413300000100000
,2843,-72.626026314699999,42.561682060800003,1888267.308400000000000,2407114.604700000000000
,2844,-72.624175282400003,42.559596937800002,1888470.571760000000000,2406925.320770000100000
,2845,-72.620129313000007,42.559171409299999,1888802.398800000100000,2406959.593380000000000
,2846,-72.619334566800006,42.559207444899997,1888864.322660000100000,2406979.296230000000000
,2847,-72.620770612200005,42.559148938400000,1888752.250980000000000,2406944.411379999900000
,2848,-72.621505001800003,42.558859878699998,1888701.992009999900000,2406898.476790000200000
,2849,-72.785490176300002,42.744295755400003,1870706.820800000100000,2423761.146400000000000
,2850,-72.736625946999993,42.515172847700001,1880772.154499999900000,2399878.056599999800000
,2851,-72.730937965099997,42.829713173599998,1872700.880399999900000,2434096.626499999800000
,2852,-72.836396603400004,42.879698177999998,1863034.798600000100000,2437443.103199999800000
,2853,-72.835972961099998,42.876717410900000,1863148.571640000000000,2437128.207779999800000
,2854,-72.645518803599998,42.629809863399998,1884871.807510000000000,2414113.781740000000000
,2855,-72.635531600999997,42.622785273600002,1885852.638770000100000,2413550.363530000200000
,2856,-72.845605411600005,42.977041662100000,1859685.231500000000000,2447816.898300000000000
,2857,-72.834693994399998,42.758461889700001,1866438.649599999900000,2424329.883800000000000
