bar_id	bar_pass	bar_type	bar_type_text	unique_id	node_id	Lon	Lat	Lon_m	Lat_m
1110	1	1	Culvert	xy4264767472789447	3163	-72.78944319	42.64768095	1873005.704	2413206.007
1111	1	1	Culvert	xy4265031172788346	248	-72.78834125	42.65031365	1873021.692	2413513.244
1112	0.4	1	Culvert	xy4267822972777765	3454	-72.77775958	42.67823188	1873103.589	2416749.467
1113	1	1	Culvert	xy4267609572776361	2025	-72.77636076	42.67609529	1873271.938	2416545.338
1114	1	1	Culvert	xy4267493972772413	2026	-72.77241599	42.67493919	1873615.039	2416497.733
1115	1	1	Culvert	xy4262111972790222	734	-72.79021732	42.62112555	1873662.195	2410310.708
1116	0.9	1	Culvert	xy4263364172782530	3392	-72.78252604	42.63364697	1873932.16	2411820.357
1117	1	1	Culvert	xy4262345072785949	3394	-72.7859472	42.62345002	1873937.191	2410647.005
1118	1	1	Culvert	xy4262906872783892	3393	-72.78388821	42.62907522	1873948.007	2411297.679
1119	1	1	Culvert	xy4263954772780218	3113	-72.78022131	42.63955458	1873954.732	2412506.492
1120	0.7	1	Culvert	xy4272434672747013	2801	-72.74700629	42.72435722	1874285.69	2422357.446
1121	1	1	Culvert	xy4269080672758374	489	-72.75836903	42.69081	1874295.952	2418495.749
1122	0.6	1	Culvert	xy4264322373045427	2149	-73.045423	42.64322851	1852873.726	2407704.982
1123	0.7	1	Culvert	xy4261690373054096	1364	-73.05409497	42.61691225	1852890.718	2404679.848
1124	0.5	1	Culvert	xy4263823673044803	3174	-73.04479803	42.63823997	1853056.562	2407175.785
1125	0.7	1	Culvert	xy4262867673045725	2243	-73.04572085	42.62867909	1853239.136	2406120.182
1126	0.6	1	Culvert	xy4261039873050621	3539	-73.05062748	42.61040341	1853339.24	2404041.049
1127	1	1	Culvert	xy4264032973032924	2668	-73.03292052	42.64033559	1853940.581	2407634.865
1128	0.6	1	Culvert	xy4261844073036731	3389	-73.03673063	42.61843976	1854224.654	2405184.306
1129	1	1	Culvert	xy4262474873033222	1588	-73.03322207	42.62475658	1854333.449	2405938.3
1130	-1	1	Culvert	xy4262064673018138	2872	-73.01814364	42.62065021	1855636.977	2405786.987
1131	0.3	1	Culvert	xy4258787873000146	1476	-73.000144	42.58787807	1857939.774	2402582.216
1132	0.4	1	Culvert	xy4257795273002537	2727	-73.00253709	42.57796103	1858015.892	2401459.214
1133	0.4	1	Culvert	xy4259967772991635	2514	-72.99163478	42.5996868	1858297.215	2404030.057
1134	1	1	Culvert	xy4263347672974198	3502	-72.97419626	42.63347051	1858771.996	2408037.013
1135	0.7	1	Culvert	xy4260589772983155	3196	-72.98315417	42.60589703	1858802.234	2404869.812
